trial,scene_seed,agent_id,subagent_tokens,tool_uses,agent_duration_min,policy_calls,physics_steps,tokens_per_policy_call,stage_max
1,2000,ses_f5c36fe6affe9yr3KSdRgW2VqX,5986928,64,34.8,20,859,299346,1
2,2001,ses_f5c36f863ffetwHaxMdmUXAmke,9387245,89,76.8,20,900,469362,3
3,2002,ses_f5c36f001ffeTkNvzqv9ZVqByd,5477880,59,37.4,17,900,322228,0
4,2003,ses_f5c36e840ffeCJetwvTfnugZEo,4270327,58,27.4,15,900,284688,0
5,2004,ses_f5c36e249ffeK8iCYS4iyWc4pM,8390788,77,69.3,20,637,419539,0
6,2005,ses_f5bee59eaffeoI5O9D1deKX2Io,7144203,80,56.9,20,467,357210,0
7,2006,ses_f5bb94860ffephbsbmyTqzsNsz,15219100,84,72.2,20,781,760955,1
8,2007,ses_f5bee2b71ffeqdAqWCqR4k6be1,8055593,76,29.9,19,774,423979,0
9,2008,ses_f5bee234dffeG4lwJ8SyDpnc5K,9048943,78,29.9,15,602,603263,4
10,2009,ses_f5bee1b2effenVEDivEjQOXKDs,2631410,39,18.6,13,59,202416,0
11,2010,ses_f5bee129fffe5dzBrEkBe5pDks,5554621,83,25.2,20,665,277731,2
12,2011,ses_f5bee0e38ffeymOzwiD9ASPfps,12308086,76,34.3,20,463,615404,0
13,2012,ses_f5bee08c1ffeII7igfuLtqLVbf,5155721,62,24.6,20,455,257786,0
14,2013,ses_f5bee03b1ffeZWzYK1F9MQ9qQ2,7446405,85,35.6,20,609,372320,0
15,2014,ses_f5bedff65ffexeBHtH2FaFEkSq,10235050,78,53.9,15,900,682337,0
16,2015,ses_f5bb943faffe7lAiAKMb33NsVw,5441299,55,27.9,15,900,362753,1
17,2016,ses_f5bedf607ffeMAeRh7jl6Qhgau,11813269,77,53.4,20,764,590663,0
18,2017,ses_f5bedf135ffe15pcGmreP8aBWR,5074889,63,27.4,15,900,338326,0
19,2018,ses_f5beded0bffe4omJvxCv6Taw3f,5828609,72,29.1,17,900,342859,0
20,2019,ses_f5bede979ffem5blBWPrWUbdup,11031272,71,51.7,20,873,551564,0
