trial,scene_seed,wall_s,decision_wait_s,action_exec_s,setup_overhead_s,control_steps,ms_per_control_step,policy_decisions,seconds_per_decision,max_single_decision_wait_s
1,2000,2108.4,2088.8,17.77,1.78,859,20.69,20,104.4,355.4
2,2001,4248.7,4227.7,19.18,1.83,900,21.31,20,211.4,1197.9
3,2002,2252.6,2231.1,19.11,2.41,900,21.23,17,131.2,303.9
4,2003,1658.1,1636.7,19.44,1.99,900,21.6,15,109.1,283.2
5,2004,4074.3,4058.3,13.76,2.19,637,21.6,20,202.9,712.4
6,2005,3477.4,3461.2,13.63,2.56,467,29.18,20,173.1,586.6
7,2006,4333.7,4313.8,17.57,2.31,781,22.49,20,215.7,631.2
8,2007,1847.4,1825.2,19.19,3.03,774,24.8,19,96.1,311.2
9,2008,1860.7,1844.5,13.9,2.24,602,23.1,15,123.0,262.3
10,2009,1187.6,1180.7,3.69,3.14,59,62.46,13,90.8,253.6
11,2010,1557.0,1538.3,16.16,2.51,665,24.29,20,76.9,224.8
12,2011,2107.7,2093.7,11.34,2.66,463,24.5,20,104.7,304.6
13,2012,1508.8,1495.0,10.61,3.15,455,23.32,20,74.7,208.9
14,2013,2191.1,2173.9,14.47,2.75,609,23.76,20,108.7,476.2
15,2014,3267.8,3244.7,20.42,2.65,900,22.69,15,216.3,909.0
16,2015,1519.8,1499.0,18.88,1.95,900,20.98,15,99.9,206.7
17,2016,3219.3,3197.0,19.77,2.52,764,25.88,20,159.9,686.9
18,2017,1673.1,1650.7,20.15,2.31,900,22.39,15,110.0,267.3
19,2018,1773.4,1750.4,20.57,2.47,900,22.85,17,103.0,391.1
20,2019,3136.7,3113.8,20.3,2.56,873,23.25,20,155.7,576.8
