trial,scene_seed,model,env_success,stage_max,reviewed_success,calls,physics_steps,sim_seconds,wall_seconds,termination,recording
1,2000,glm-subagent,0.0,0,False,18,768,38.4,2599.9,"[""give_up""]",FAIL
2,2001,glm-subagent,0.0,0,False,20,594,29.7,2079.1,"[""give_up""]",FAIL
3,2002,glm-subagent,0.0,3,False,20,548,27.4,2878.0,"[""done""]",FAIL
4,2003,glm-subagent,0.0,0,False,16,144,7.2,1354.3,"[""give_up""]",FAIL
5,2004,glm-subagent,0.0,0,False,19,301,15.05,1794.1,"[""give_up""]",FAIL
6,2005,glm-subagent,0.0,0,False,20,652,32.6,1866.9,"[""give_up""]",FAIL
7,2006,glm-subagent,0.0,2,False,20,900,45.0,1686.3,"[""max_steps""]",FAIL
8,2007,glm-subagent,0.0,2,False,20,812,40.6,2177.9,"[""give_up""]",FAIL
9,2008,glm-subagent,0.0,1,False,18,803,40.15,2291.2,"[""give_up""]",FAIL
10,2009,glm-subagent,0.0,0,False,20,561,28.05,1327.1,"[""done""]",FAIL
11,2010,glm-subagent,0.0,1,False,20,808,40.4,2520.6,"[""give_up""]",FAIL
12,2011,glm-subagent,0.0,0,False,12,59,2.95,1552.9,"[""give_up""]",FAIL
13,2012,glm-subagent,0.0,0,False,16,900,45.0,2799.9,"[""max_steps""]",FAIL
14,2013,glm-subagent,0.0,0,False,17,840,42.0,2510.6,"[""done""]",FAIL
15,2014,glm-subagent,0.0,1,False,17,900,45.0,2842.7,"[""max_steps""]",FAIL
16,2015,glm-subagent,0.0,0,False,19,460,23.0,1649.0,"[""give_up""]",FAIL
17,2016,glm-subagent,0.0,1,False,19,620,31.0,1953.6,"[""done""]",FAIL
18,2017,glm-subagent,0.0,0,False,19,843,42.15,2662.9,"[""give_up""]",FAIL
19,2018,glm-subagent,0.0,1,False,20,698,34.9,3083.1,"[""done""]",FAIL
20,2019,glm-subagent,0.0,1,False,20,250,12.5,1940.2,"[""give_up""]",FAIL
