trial,scene_seed,agent_id,subagent_tokens,tool_uses,agent_duration_min,policy_calls,physics_steps,tokens_per_policy_call,stage_max
1,2000,agent_1e7e95a7-9640-4f29-bb3a-cc4805e06930,5011276,46,43.4,18,768,278404,0
2,2001,agent_36ca5889-9115-4bec-8f7c-39407ade5c32,5785427,55,33.7,20,594,289271,0
3,2002,agent_a38bd013-034b-4ee8-a200-a666fad2196d,6342722,57,47.2,20,548,317136,3
4,2003,agent_68c469fb-6a07-4762-9418-ff2f21baad20,2647025,41,21.7,16,144,165439,0
5,2004,agent_551e13d8-76ab-4e5e-8a27-d8ae9f948245,4714174,48,29.1,19,301,248114,0
6,2005,agent_f7f2b3be-df27-46dd-a168-0c4090ba4e46,5096556,58,30.4,20,652,254828,0
7,2006,agent_fb67d9cd-c5ed-47d9-888e-5457f3022732,4994369,62,27.4,20,900,249718,2
8,2007,agent_3c48a983-1f7f-47c7-bbd8-950527762581,6711133,60,36.4,20,812,335557,2
9,2008,agent_be49b96b-28a6-4220-b92a-8d07edd14c75,4334110,50,38.2,18,803,240784,1
10,2009,agent_5f276cd0-5ed4-4d0d-b531-efff2e650a3b,5325074,49,22.1,20,561,266254,0
11,2010,agent_14adf44f-871c-48cb-9296-6ec5e0bca9d6,6489381,62,42.2,20,808,324469,1
12,2011,agent_38bbf74d-9795-49fe-b993-b0b2db7144e6,1929317,30,25.9,12,59,160776,0
13,2012,agent_2cfe6e95-46e9-4b2e-a83d-ebf705953f26,3689864,47,46.9,16,900,230616,0
14,2013,agent_964fbbc5-f0c7-44a7-a89a-6435f38b66ab,3978894,61,41.9,17,840,234053,0
15,2014,agent_42a9513d-4f20-4d49-b49c-3242f77512e0,4065039,57,47.5,17,900,239120,1
16,2015,agent_7a735120-8fae-4969-9231-9a6e5f1c0b6e,4848000,56,27.5,19,460,255158,0
17,2016,agent_b95e9483-a7cf-4ebf-887e-456f4b44a4be,4362541,51,32.6,19,620,229607,1
18,2017,agent_41c330c9-24c0-4aea-86e4-919dce837519,5427686,62,44.5,19,843,285668,0
19,2018,agent_3361d0a6-9f68-4e77-b0a9-8b8ce5241448,6354423,58,51.4,20,698,317721,1
20,2019,agent_85f125cd-8070-4824-88de-251d42a69baf,5261645,45,32.3,20,250,263082,1
