trial,scene_seed,env_success,calls,physics_steps,sim_seconds,wall_seconds,video_frames,image_references,termination,recording_checks,reviewed_stage,reviewed_success
1,2000,0.0,18,768,38.4,2599.89,769,105,"[""give_up""]",PASS,0,False
2,2001,0.0,20,594,29.7,2079.12,595,117,"[""give_up""]",PASS,0,False
3,2002,0.0,20,548,27.4,2877.98,549,117,"[""done""]",PASS,3,False
4,2003,0.0,16,144,7.2,1354.29,145,93,"[""give_up""]",PASS,0,False
5,2004,0.0,19,301,15.05,1794.07,302,111,"[""give_up""]",PASS,0,False
6,2005,0.0,20,652,32.6,1866.93,653,117,"[""give_up""]",PASS,0,False
7,2006,0.0,20,900,45.0,1686.25,901,117,"[""max_steps""]",PASS,2,False
8,2007,0.0,20,812,40.6,2177.85,813,117,"[""give_up""]",PASS,2,False
9,2008,0.0,18,803,40.15,2291.22,804,105,"[""give_up""]",PASS,1,False
10,2009,0.0,20,561,28.05,1327.1,562,117,"[""done""]",PASS,0,False
11,2010,0.0,20,808,40.4,2520.64,809,117,"[""give_up""]",PASS,1,False
12,2011,0.0,12,59,2.95,1552.9,60,69,"[""give_up""]",PASS,0,False
13,2012,0.0,16,900,45.0,2799.87,901,93,"[""max_steps""]",PASS,0,False
14,2013,0.0,17,840,42.0,2510.64,841,99,"[""done""]",PASS,0,False
15,2014,0.0,17,900,45.0,2842.67,901,99,"[""max_steps""]",PASS,1,False
16,2015,0.0,19,460,23.0,1648.96,461,111,"[""give_up""]",PASS,0,False
17,2016,0.0,19,620,31.0,1953.58,621,111,"[""done""]",PASS,1,False
18,2017,0.0,19,843,42.15,2662.92,844,111,"[""give_up""]",PASS,0,False
19,2018,0.0,20,698,34.9,3083.09,699,117,"[""done""]",PASS,1,False
20,2019,0.0,20,250,12.5,1940.24,251,117,"[""give_up""]",PASS,1,False
