trial_id,scene_id,eval_seed,scene_seed,epoch,derived_env_seed
trial-01,seed-2000,0,2000,0,3546258380
trial-02,seed-2001,0,2001,0,3533566459
trial-03,seed-2002,0,2002,0,3504033698
trial-04,seed-2003,0,2003,0,3508086165
trial-05,seed-2004,0,2004,0,3562418960
trial-06,seed-2005,0,2005,0,3583269159
trial-07,seed-2006,0,2006,0,3620923262
trial-08,seed-2007,0,2007,0,3591408969
trial-09,seed-2008,0,2008,0,3712797300
trial-10,seed-2009,0,2009,0,3700334659
trial-11,seed-2010,0,2010,0,1810103465
trial-12,seed-2011,0,2011,0,1780586142
trial-13,seed-2012,0,2012,0,1751591111
trial-14,seed-2013,0,2013,0,1772438256
trial-15,seed-2014,0,2014,0,1827296373
trial-16,seed-2015,0,2015,0,1831353922
trial-17,seed-2016,0,2016,0,1869512731
trial-18,seed-2017,0,2017,0,1856825900
trial-19,seed-2018,0,2018,0,1710271761
trial-20,seed-2019,0,2019,0,1681049382
