agent_path,category,attempt_path,session_id,model,effort,usage_source_file,usage_source_sha256,final_usage_line,first_usage_timestamp,last_usage_timestamp,usage_events,unique_usage_increments,tool_calls,input_tokens,cached_input_tokens,cache_write_input_tokens,output_tokens,reasoning_output_tokens,total_tokens,noncached_input_tokens,increment_sum_matches_cumulative,provider_cost_usd
/root/standard20_coordinator,management,,01a0a318-bffd-73c2-8aad-c35ac42033cb,"[""gpt-6-astra""]","[""high""]",rollout-2026-09-15T11-25-03-01a0a318-bffd-73c2-8aad-c35ac42033cb.jsonl,fb732f49a1c0bd89fd085be856ab85e5bf8ca35f6e25b15c1a6fca060e687af6,186,2026-09-15T03:25:17.455Z,2026-09-15T03:31:41.719Z,29,28,28,1111603,1063168,0,4759,194,1116362,48435,True,
/root/standard20_coordinator/decision_01_01,superseded_per_decision,,01a0a319-54d6-7003-bec5-ad9c1b2e0600,"[""gpt-6-astra""]","[""medium""]",rollout-2026-09-15T11-25-41-01a0a319-54d6-7003-bec5-ad9c1b2e0600.jsonl,f574af93d212ff75478a9401fe1aaf5bd96c72e966f34b2621166a6b47e778fc,28,2026-09-15T03:25:59.419Z,2026-09-15T03:26:23.691Z,3,3,2,92857,60544,0,522,180,93379,32313,True,
/root/standard20_coordinator/decision_01_02,superseded_per_decision,,01a0a31a-6299-7752-8827-51c2796f2c94,"[""gpt-6-astra""]","[""medium""]",rollout-2026-09-15T11-26-50-01a0a31a-6299-7752-8827-51c2796f2c94.jsonl,b7df8bd182942af4616379a005171b89387db60aabe136f8ba84fd335fc8bf8a,31,2026-09-15T03:27:03.116Z,2026-09-15T03:27:36.410Z,3,3,2,94455,89984,0,816,287,95271,4471,True,
/root/standard20_coordinator/decision_01_03,superseded_per_decision,,01a0a31b-a9d9-7b71-a36c-ddd114d632a0,"[""gpt-6-astra""]","[""medium""]",rollout-2026-09-15T11-28-14-01a0a31b-a9d9-7b71-a36c-ddd114d632a0.jsonl,2163c0bf3d5876101c50bfeb493f5ba5d8a1f9598a95f8af409006cb346b768e,31,2026-09-15T03:28:26.213Z,2026-09-15T03:28:50.201Z,3,3,2,96152,90880,0,472,56,96624,5272,True,
/root/standard20_coordinator/decision_01_04,superseded_per_decision,,01a0a31c-72af-7473-a6f4-2bf2755b2fbb,"[""gpt-6-astra""]","[""medium""]",rollout-2026-09-15T11-29-05-01a0a31c-72af-7473-a6f4-2bf2755b2fbb.jsonl,90579f116d4d8bd1293da647e0dd41dfff248b11d6cfe179897369d81f95bfd6,31,2026-09-15T03:29:18.475Z,2026-09-15T03:29:51.841Z,3,3,2,96582,91008,0,660,140,97242,5574,True,
/root/standard20_coordinator/decision_01_05,superseded_per_decision,,01a0a31d-6411-76d3-a5e4-3fab6a8f1ae6,"[""gpt-6-astra""]","[""medium""]",rollout-2026-09-15T11-30-07-01a0a31d-6411-76d3-a5e4-3fab6a8f1ae6.jsonl,b5c6fe41d51d5515b629b662e8c862047b4281999fedfae3b102776696f776a7,31,2026-09-15T03:30:21.473Z,2026-09-15T03:30:45.307Z,3,3,2,97564,91520,0,505,81,98069,6044,True,
/root/standard20_coordinator/decision_01_06,superseded_per_decision,,01a0a31e-3cda-70b1-a3a8-fbba8d40e676,"[""gpt-6-astra""]","[""medium""]",rollout-2026-09-15T11-31-03-01a0a31e-3cda-70b1-a3a8-fbba8d40e676.jsonl,708169c062340de42d94a1a1b1325f8e5ce408cf70b50320a55b983dc2f6a3aa,31,2026-09-15T03:31:12.281Z,2026-09-15T03:31:33.995Z,3,3,2,99586,82304,0,461,46,100047,17282,True,
/root/persistent20_manager,management,,01a0a323-eb2e-7693-b0cb-affe58a81f6e,"[""gpt-6-astra""]","[""high""]",rollout-2026-09-15T11-37-15-01a0a323-eb2e-7693-b0cb-affe58a81f6e.jsonl,ae53d8bccf098fae3a9eca299a9d4c97302b23c164de903a614f67cf5ffdd1d8,135,2026-09-15T03:37:28.206Z,2026-09-15T03:47:47.822Z,23,22,22,977041,944512,0,3175,22,980216,32529,True,
/root/persistent20_manager/policy_01,valid_policy,trial-01,01a0a324-b020-77d3-8b02-b02bdb00911a,"[""gpt-6-astra""]","[""medium""]",rollout-2026-09-15T11-38-05-01a0a324-b020-77d3-8b02-b02bdb00911a.jsonl,02de5697920fa93c81bc0d1dac6ec65e2cd6707bbfa67066433fb2baa293defd,159,2026-09-15T03:38:17.428Z,2026-09-15T03:42:14.937Z,22,22,21,1183063,1127168,0,4268,782,1187331,55895,True,
/root/persistent20_manager/policy_02,interrupted_policy,trial-02,01a0a329-322b-7f83-aa32-d371f26b35c6,"[""gpt-6-astra""]","[""medium""]",rollout-2026-09-15T11-43-01-01a0a329-322b-7f83-aa32-d371f26b35c6.jsonl,674449c7297b48ed6b84dcc71d186d563a3e89be037b0a8e0c8848a6384fbd86,205,2026-09-15T03:43:16.556Z,2026-09-15T03:47:47.200Z,29,28,28,1807310,1716480,0,5580,954,1812890,90830,True,
