scene_seed,gpt-6-astra_stage,glm-5.3-flash_stage,deepseek-v4.1-flash_stage,qwen3.8-flash_stage,gpt-6-astra_env,glm-5.3-flash_env,deepseek-v4.1-flash_env,qwen3.8-flash_env,gpt-6-astra_calls,glm-5.3-flash_calls,deepseek-v4.1-flash_calls,qwen3.8-flash_calls
2000,3,0,1,1,1,0,0,0,10,18,20,20
2001,3,0,3,1,1,0,0,0,11,20,20,20
2002,,3,0,2,1,0,0,0,13,20,17,19
2003,,0,0,4,1,0,0,1,14,16,15,19
2004,,0,0,1,1,0,0,0,13,19,20,20
2005,,0,0,1,,0,0,0,,20,20,20
2006,,2,1,0,,0,0,0,,20,20,20
2007,,2,0,1,,0,0,0,,20,19,18
2008,,1,4,0,,0,1,0,,18,15,19
2009,,0,0,0,,0,0,0,,20,13,19
2010,,1,2,0,,0,0,0,,20,20,20
2011,,0,0,1,,0,0,0,,12,20,18
2012,,0,0,4,,0,0,1,,16,20,17
2013,,0,0,0,,0,0,0,,17,20,19
2014,,1,0,1,,0,0,0,,17,15,20
2015,,0,1,1,,0,0,0,,19,15,20
2016,,1,0,4,,0,0,1,,19,20,18
2017,,0,0,0,,0,0,0,,19,15,15
2018,,1,0,4,,0,0,1,,20,17,17
2019,,1,0,3,,0,0,0,,20,20,20
