trial,scene_seed,llm_calls,physics_steps,sim_seconds,wall_seconds,model_decision_wait_seconds,decision_wait_pct_of_wall,mean_wait_per_decision_s,max_single_wait_s,worker_runs,token_journal_status,tokens_total,tokens_input,tokens_output,tokens_cache_read,api_usage_or_cost
trial-01,2000,20,882,44.1,2831.8,2803.8,99.01,140.2,440.4,1,partial/empty-after-resume,0,0,0,0,null (subagent access mode: no API usage field; see SOP section 7)
trial-02,2001,20,555,27.75,2527.8,2509.3,99.27,125.5,393.8,1,partial/empty-after-resume,0,0,0,0,null (subagent access mode: no API usage field; see SOP section 7)
trial-03,2002,19,621,31.05,1505.8,1486.6,98.73,78.2,152.8,1,partial/empty-after-resume,0,0,0,0,null (subagent access mode: no API usage field; see SOP section 7)
trial-04,2003,19,713,35.65,2350.1,2326.9,99.01,122.5,375.3,1,partial/empty-after-resume,0,0,0,0,null (subagent access mode: no API usage field; see SOP section 7)
trial-05,2004,20,820,41.0,1903.5,1879.2,98.72,94.0,206.8,1,partial/empty-after-resume,0,0,0,0,null (subagent access mode: no API usage field; see SOP section 7)
trial-06,2005,20,824,41.2,1766.5,1745.9,98.83,87.3,197.6,2,partial/empty-after-resume,179618,64479,4803,110336,null (subagent access mode: no API usage field; see SOP section 7)
trial-07,2006,20,716,35.8,2108.4,2086.7,98.97,104.3,439.7,1,complete,52792,2598,786,49408,null (subagent access mode: no API usage field; see SOP section 7)
trial-08,2007,18,554,27.7,1320.3,1304.4,98.79,72.5,175.0,1,complete,52533,2469,656,49408,null (subagent access mode: no API usage field; see SOP section 7)
trial-09,2008,19,900,45.0,2026.4,2004.9,98.94,105.5,286.7,2,partial/empty-after-resume,315766,57805,31913,226048,null (subagent access mode: no API usage field; see SOP section 7)
trial-10,2009,19,784,39.2,2308.9,2288.0,99.09,120.4,343.9,2,complete,1188356,176633,40203,971520,null (subagent access mode: no API usage field; see SOP section 7)
trial-11,2010,20,479,23.95,2326.9,2312.6,99.39,115.6,527.6,2,complete,1456697,162158,61387,1233152,null (subagent access mode: no API usage field; see SOP section 7)
trial-12,2011,18,472,23.6,1736.7,1723.4,99.24,95.7,475.3,2,complete,6154795,301274,137681,5715840,null (subagent access mode: no API usage field; see SOP section 7)
trial-13,2012,17,163,8.15,1785.6,1779.1,99.64,104.7,375.4,2,complete,775480,64334,32234,678912,null (subagent access mode: no API usage field; see SOP section 7)
trial-14,2013,19,547,27.35,1821.2,1806.4,99.19,95.1,164.2,2,complete,256863,29244,2851,224768,null (subagent access mode: no API usage field; see SOP section 7)
trial-15,2014,20,784,39.2,2418.2,2400.4,99.26,120.0,508.8,2,complete,569025,96394,20791,451840,null (subagent access mode: no API usage field; see SOP section 7)
trial-16,2015,20,702,35.1,2490.8,2475.0,99.37,123.8,479.5,1,complete,936259,94627,26528,815104,null (subagent access mode: no API usage field; see SOP section 7)
trial-17,2016,18,835,41.75,2130.3,2112.1,99.15,117.3,582.8,1,complete,9645122,319072,153826,9172224,null (subagent access mode: no API usage field; see SOP section 7)
trial-18,2017,15,764,38.2,1998.7,1982.8,99.2,132.2,256.4,1,complete,5199333,266508,152281,4780544,null (subagent access mode: no API usage field; see SOP section 7)
trial-19,2018,17,707,35.35,2297.1,2265.5,98.63,133.3,559.1,1,complete,9849728,320370,155150,9374208,null (subagent access mode: no API usage field; see SOP section 7)
trial-20,2019,20,684,34.2,1832.0,1806.2,98.59,90.3,183.7,1,complete,8001124,292998,113374,7594752,null (subagent access mode: no API usage field; see SOP section 7)
