time_s,unit,isaac_d20_requested_right_elbow_pitch_joint,isaac_d20_effective_right_elbow_pitch_joint,mujoco_d20_requested_right_elbow_pitch_joint,mujoco_d20_effective_right_elbow_pitch_joint,isaac_d20_requested_right_hip_pitch_joint,isaac_d20_effective_right_hip_pitch_joint,mujoco_d20_requested_right_hip_pitch_joint,mujoco_d20_effective_right_hip_pitch_joint,isaac_d20_requested_waist_yaw_joint,isaac_d20_effective_waist_yaw_joint,mujoco_d20_requested_waist_yaw_joint,mujoco_d20_effective_waist_yaw_joint
0.00,rad,-0.575508,-0.575508,-0.575508,-0.575508,0.586256,0.586256,0.586256,0.586256,-0.051170,-0.051170,-0.051170,-0.051170
0.02,rad,-0.700146,-0.575508,-0.487360,-0.575508,0.701810,0.586256,0.746812,0.586256,-0.053797,-0.051170,-0.048710,-0.051170
0.04,rad,-0.335215,-0.700146,-0.210210,-0.487360,0.718404,0.701810,0.777916,0.746812,-0.061316,-0.053797,-0.046361,-0.048710
0.06,rad,0.083916,-0.335215,0.097298,-0.210210,0.662838,0.718404,0.713918,0.777916,-0.063541,-0.061316,-0.050806,-0.046361
0.08,rad,0.063105,0.083916,-0.083091,0.097298,0.391913,0.662838,0.541840,0.713918,-0.073090,-0.063541,-0.063751,-0.050806
0.10,rad,-0.167776,0.063105,-0.419031,-0.083091,0.203235,0.391913,0.401420,0.541840,-0.072008,-0.073090,-0.076315,-0.063751
0.12,rad,-0.150042,-0.167776,-0.343280,-0.419031,0.170329,0.203235,0.351489,0.401420,-0.073780,-0.072008,-0.094175,-0.076315
0.14,rad,-0.028229,-0.150042,-0.114926,-0.343280,0.254947,0.170329,0.225286,0.351489,-0.061143,-0.073780,-0.091526,-0.094175
0.16,rad,0.027518,-0.028229,-0.041374,-0.114926,0.237675,0.254947,0.020880,0.225286,-0.041271,-0.061143,-0.074427,-0.091526
0.18,rad,0.016853,0.027518,-0.046657,-0.041374,0.179613,0.237675,-0.088225,0.020880,-0.024507,-0.041271,-0.054203,-0.074427
0.20,rad,-0.015722,0.016853,-0.031782,-0.046657,0.294118,0.179613,-0.007612,-0.088225,-0.013170,-0.024507,-0.036075,-0.054203
0.22,rad,-0.033950,-0.015722,-0.002329,-0.031782,0.387637,0.294118,0.126328,-0.007612,-0.001099,-0.013170,-0.024158,-0.036075
0.24,rad,-0.105881,-0.033950,-0.060092,-0.002329,0.415311,0.387637,0.067716,0.126328,0.011280,-0.001099,-0.012760,-0.024158
0.26,rad,-0.147322,-0.105881,-0.153296,-0.060092,0.417886,0.415311,0.181754,0.067716,0.016916,0.011280,0.004019,-0.012760
0.28,rad,-0.174375,-0.147322,-0.181621,-0.153296,0.407986,0.417886,0.369012,0.181754,0.017521,0.016916,0.017755,0.004019
0.30,rad,-0.178375,-0.174375,-0.190079,-0.181621,0.364757,0.407986,0.578519,0.369012,0.015140,0.017521,0.032470,0.017755
0.32,rad,-0.146079,-0.178375,-0.198292,-0.190079,0.318472,0.364757,0.634440,0.578519,0.012479,0.015140,0.039937,0.032470
