joint_name,isaac_armature_runtime,mujoco_armature_runtime,isaac_kp_requested,isaac_kp_runtime,mujoco_kp_runtime,mujoco_kp_metadata,isaac_kd_requested,isaac_kd_runtime,mujoco_kd_metadata,isaac_effort_limit,mujoco_ctrl_range,isaac_velocity_limit,mujoco_dof_velocity_limit,mujoco_joint_id,mujoco_dof_id,mujoco_actuator_id,mujoco_gainprm0,mujoco_gear,mujoco_dof_damping,mujoco_dof_frictionloss,isaac_kp_runtime_status,isaac_armature_runtime_status,parameter_source
left_hip_roll_joint,0.164730,0.164730,587.6370,587.6370,"UNAVAILABLE(PD 在 runner 外计算,用 metadata kp)",587.6370,45.4220,45.4220,45.4220,255.00,"[-255.0, 255.0]",7.2800,UNAVAILABLE,1,6,0,1.0000,1.0000,0.00000,0.10000,OK,OK,runtime readback
right_hip_roll_joint,0.164730,0.164730,522.6670,522.6670,"UNAVAILABLE(PD 在 runner 外计算,用 metadata kp)",522.6670,47.6740,47.6740,47.6740,255.00,"[-255.0, 255.0]",7.2800,UNAVAILABLE,7,12,6,1.0000,1.0000,0.00000,0.10000,OK,OK,runtime readback
waist_yaw_joint,0.010000,0.068500,467.9940,467.9940,"UNAVAILABLE(PD 在 runner 外计算,用 metadata kp)",467.9940,5.7040,5.7040,5.7040,110.00,"[-110.0, 110.0]",4.1900,UNAVAILABLE,13,18,12,1.0000,1.0000,0.00000,0.10000,OK,OK,runtime readback
left_hip_yaw_joint,0.088000,0.088000,306.2370,306.2370,"UNAVAILABLE(PD 在 runner 外计算,用 metadata kp)",306.2370,17.9170,17.9170,17.9170,100.00,"[-100.0, 100.0]",13.2600,UNAVAILABLE,2,7,1,1.0000,1.0000,0.00000,0.10000,OK,OK,runtime readback
right_hip_yaw_joint,0.088000,0.088000,306.7940,306.7940,"UNAVAILABLE(PD 在 runner 外计算,用 metadata kp)",306.7940,18.5960,18.5960,18.5960,100.00,"[-100.0, 100.0]",13.2600,UNAVAILABLE,8,13,7,1.0000,1.0000,0.00000,0.10000,OK,OK,runtime readback
waist_roll_joint,0.020000,0.025102,536.2520,536.2520,"UNAVAILABLE(PD 在 runner 外计算,用 metadata kp)",536.2520,5.5870,5.5870,5.5870,110.00,"[-110.0, 110.0]",4.1900,UNAVAILABLE,14,19,13,1.0000,1.0000,0.00000,0.10000,OK,OK,runtime readback
left_hip_pitch_joint,0.096800,0.096800,337.0900,337.0900,"UNAVAILABLE(PD 在 runner 外计算,用 metadata kp)",337.0900,19.9780,19.9780,19.9780,350.00,"[-350.0, 350.0]",20.0000,UNAVAILABLE,3,8,2,1.0000,1.0000,0.00000,0.10000,OK,OK,runtime readback
right_hip_pitch_joint,0.096800,0.096800,414.8740,414.8740,"UNAVAILABLE(PD 在 runner 外计算,用 metadata kp)",414.8740,29.1650,29.1650,29.1650,350.00,"[-350.0, 350.0]",20.0000,UNAVAILABLE,9,14,8,1.0000,1.0000,0.00000,0.10000,OK,OK,runtime readback
waist_pitch_joint,0.020000,0.025102,555.1430,555.1430,"UNAVAILABLE(PD 在 runner 外计算,用 metadata kp)",555.1430,6.1370,6.1370,6.1370,110.00,"[-110.0, 110.0]",4.1900,UNAVAILABLE,15,20,14,1.0000,1.0000,0.00000,0.10000,OK,OK,runtime readback
left_knee_joint,0.096800,0.096800,307.8930,307.8930,"UNAVAILABLE(PD 在 runner 外计算,用 metadata kp)",307.8930,27.7990,27.7990,27.7990,350.00,"[-350.0, 350.0]",20.0000,UNAVAILABLE,4,9,3,1.0000,1.0000,0.00000,0.10000,OK,OK,runtime readback
right_knee_joint,0.096800,0.096800,444.7720,444.7720,"UNAVAILABLE(PD 在 runner 外计算,用 metadata kp)",444.7720,26.3560,26.3560,26.3560,350.00,"[-350.0, 350.0]",20.0000,UNAVAILABLE,10,15,9,1.0000,1.0000,0.00000,0.10000,OK,OK,runtime readback
left_shoulder_pitch_joint,0.010000,0.068500,46.0320,46.0320,"UNAVAILABLE(PD 在 runner 外计算,用 metadata kp)",46.0320,2.3070,2.3070,2.3070,95.00,"[-95.0, 95.0]",4.1900,UNAVAILABLE,16,21,15,1.0000,1.0000,0.00000,0.10000,OK,OK,runtime readback
right_shoulder_pitch_joint,0.010000,0.068500,43.2790,43.2790,"UNAVAILABLE(PD 在 runner 外计算,用 metadata kp)",43.2790,2.5470,2.5470,2.5470,95.00,"[-95.0, 95.0]",4.1900,UNAVAILABLE,23,28,22,1.0000,1.0000,0.00000,0.10000,OK,OK,runtime readback
left_ankle_pitch_joint,0.045000,0.045000,207.5320,207.5320,"UNAVAILABLE(PD 在 runner 外计算,用 metadata kp)",207.5320,9.4850,9.4850,9.4850,50.00,"[-50.0, 50.0]",13.6500,UNAVAILABLE,5,10,4,1.0000,1.0000,0.00000,0.10000,OK,OK,runtime readback
right_ankle_pitch_joint,0.045000,0.045000,145.8280,145.8280,"UNAVAILABLE(PD 在 runner 外计算,用 metadata kp)",145.8280,12.1930,12.1930,12.1930,50.00,"[-50.0, 50.0]",13.6500,UNAVAILABLE,11,16,10,1.0000,1.0000,0.00000,0.10000,OK,OK,runtime readback
left_shoulder_roll_joint,0.010000,0.068500,33.0180,33.0180,"UNAVAILABLE(PD 在 runner 外计算,用 metadata kp)",33.0180,2.9390,2.9390,2.9390,95.00,"[-95.0, 95.0]",4.1900,UNAVAILABLE,17,22,16,1.0000,1.0000,0.00000,0.10000,OK,OK,runtime readback
right_shoulder_roll_joint,0.010000,0.068500,45.6160,45.6160,"UNAVAILABLE(PD 在 runner 外计算,用 metadata kp)",45.6160,2.8760,2.8760,2.8760,95.00,"[-95.0, 95.0]",4.1900,UNAVAILABLE,24,29,23,1.0000,1.0000,0.00000,0.10000,OK,OK,runtime readback
left_ankle_roll_joint,0.045000,0.045000,162.6240,162.6240,"UNAVAILABLE(PD 在 runner 外计算,用 metadata kp)",162.6240,10.5910,10.5910,10.5910,50.00,"[-50.0, 50.0]",13.6500,UNAVAILABLE,6,11,5,1.0000,1.0000,0.00000,0.10000,OK,OK,runtime readback
right_ankle_roll_joint,0.045000,0.045000,193.7540,193.7540,"UNAVAILABLE(PD 在 runner 外计算,用 metadata kp)",193.7540,10.2460,10.2460,10.2460,50.00,"[-50.0, 50.0]",13.6500,UNAVAILABLE,12,17,11,1.0000,1.0000,0.00000,0.10000,OK,OK,runtime readback
left_arm_yaw_joint,0.010000,0.068500,35.0060,35.0060,"UNAVAILABLE(PD 在 runner 外计算,用 metadata kp)",35.0060,2.6860,2.6860,2.6860,95.00,"[-95.0, 95.0]",4.1900,UNAVAILABLE,18,23,17,1.0000,1.0000,0.00000,0.10000,OK,OK,runtime readback
right_arm_yaw_joint,0.010000,0.068500,35.2390,35.2390,"UNAVAILABLE(PD 在 runner 外计算,用 metadata kp)",35.2390,3.0010,3.0010,3.0010,95.00,"[-95.0, 95.0]",4.1900,UNAVAILABLE,25,30,24,1.0000,1.0000,0.00000,0.10000,OK,OK,runtime readback
left_elbow_pitch_joint,0.010000,0.068500,45.7990,45.7990,"UNAVAILABLE(PD 在 runner 外计算,用 metadata kp)",45.7990,2.8400,2.8400,2.8400,95.00,"[-95.0, 95.0]",4.1900,UNAVAILABLE,19,24,18,1.0000,1.0000,0.00000,0.10000,OK,OK,runtime readback
right_elbow_pitch_joint,0.010000,0.068500,38.3110,38.3110,"UNAVAILABLE(PD 在 runner 外计算,用 metadata kp)",38.3110,2.1150,2.1150,2.1150,95.00,"[-95.0, 95.0]",4.1900,UNAVAILABLE,26,31,25,1.0000,1.0000,0.00000,0.10000,OK,OK,runtime readback
left_elbow_yaw_joint,0.010000,0.030000,43.1760,43.1760,"UNAVAILABLE(PD 在 runner 外计算,用 metadata kp)",43.1760,2.5220,2.5220,2.5220,35.00,"[-35.0, 35.0]",4.1900,UNAVAILABLE,20,25,19,1.0000,1.0000,0.00000,0.10000,OK,OK,runtime readback
right_elbow_yaw_joint,0.010000,0.030000,33.0070,33.0070,"UNAVAILABLE(PD 在 runner 外计算,用 metadata kp)",33.0070,2.5980,2.5980,2.5980,35.00,"[-35.0, 35.0]",4.1900,UNAVAILABLE,27,32,26,1.0000,1.0000,0.00000,0.10000,OK,OK,runtime readback
left_wrist_pitch_joint,0.010000,0.030000,32.0910,32.0910,"UNAVAILABLE(PD 在 runner 外计算,用 metadata kp)",32.0910,2.0580,2.0580,2.0580,35.00,"[-35.0, 35.0]",4.1900,UNAVAILABLE,21,26,20,1.0000,1.0000,0.00000,0.10000,OK,OK,runtime readback
right_wrist_pitch_joint,0.010000,0.030000,40.0150,40.0150,"UNAVAILABLE(PD 在 runner 外计算,用 metadata kp)",40.0150,2.3020,2.3020,2.3020,35.00,"[-35.0, 35.0]",4.1900,UNAVAILABLE,28,33,27,1.0000,1.0000,0.00000,0.10000,OK,OK,runtime readback
left_wrist_roll_joint,0.010000,0.030000,45.4590,45.4590,"UNAVAILABLE(PD 在 runner 外计算,用 metadata kp)",45.4590,2.6840,2.6840,2.6840,35.00,"[-35.0, 35.0]",4.1900,UNAVAILABLE,22,27,21,1.0000,1.0000,0.00000,0.10000,OK,OK,runtime readback
right_wrist_roll_joint,0.010000,0.030000,39.0860,39.0860,"UNAVAILABLE(PD 在 runner 外计算,用 metadata kp)",39.0860,2.2250,2.2250,2.2250,35.00,"[-35.0, 35.0]",4.1900,UNAVAILABLE,29,34,28,1.0000,1.0000,0.00000,0.10000,OK,OK,runtime readback
