engine,metric,value,unit
isaac,q_sensitivity,0.030929,rad
isaac,q_des_sensitivity,0.033234,rad
isaac,body_position_world_sensitivity,0.026946,m
isaac,body_position_pelvis_relative_sensitivity,0.009635,m
isaac,body_orientation_sensitivity,0.052106,rad
isaac,requested_tracking_rms_D00,0.131353,rad
isaac,requested_tracking_rms_D20,0.145288,rad
isaac,effective_tracking_rms_D20,0.130011,rad
isaac,group_LEGS_q_sensitivity,0.034088,rad
isaac,group_WAIST_q_sensitivity,0.012869,rad
isaac,group_ARMS_q_sensitivity,0.030822,rad
isaac,root_height_sensitivity,0.006496,m
isaac,root_xy_drift_sensitivity,0.031841,m
isaac,root_roll_sensitivity,0.011006,rad
isaac,root_pitch_sensitivity,0.009607,rad
isaac,body_linear_vel_sensitivity,0.094311,m/s
isaac,body_angular_vel_sensitivity,0.321105,rad/s
isaac,action_variation_D00,0.130202,policy_action_unit
isaac,action_variation_D20,0.132457,policy_action_unit
isaac,q_des_variation_D00,0.032055,rad
isaac,q_des_variation_D20,0.032514,rad
mujoco,q_sensitivity,0.048023,rad
mujoco,q_des_sensitivity,0.049301,rad
mujoco,body_position_world_sensitivity,0.051533,m
mujoco,body_position_pelvis_relative_sensitivity,0.017089,m
mujoco,body_orientation_sensitivity,0.104533,rad
mujoco,requested_tracking_rms_D00,0.122301,rad
mujoco,requested_tracking_rms_D20,0.139712,rad
mujoco,effective_tracking_rms_D20,0.123062,rad
mujoco,group_LEGS_q_sensitivity,0.057339,rad
mujoco,group_WAIST_q_sensitivity,0.019398,rad
mujoco,group_ARMS_q_sensitivity,0.043342,rad
mujoco,root_height_sensitivity,0.008846,m
mujoco,root_xy_drift_sensitivity,0.060353,m
mujoco,root_roll_sensitivity,0.016085,rad
mujoco,root_pitch_sensitivity,0.014021,rad
mujoco,body_linear_vel_sensitivity,0.129653,m/s
mujoco,body_angular_vel_sensitivity,0.434377,rad/s
mujoco,action_variation_D00,0.139526,policy_action_unit
mujoco,action_variation_D20,0.142884,policy_action_unit
mujoco,q_des_variation_D00,0.033379,rad
mujoco,q_des_variation_D20,0.034244,rad
