scope,engine_or_pair,metric,value,unit
within_D20_vs_D00,isaac,q_sensitivity,0.030929,rad
within_D20_vs_D00,isaac,q_des_sensitivity,0.033234,rad
within_D20_vs_D00,isaac,body_position_world_sensitivity,0.026946,m
within_D20_vs_D00,isaac,body_position_pelvis_relative_sensitivity,0.009635,m
within_D20_vs_D00,isaac,body_orientation_sensitivity,0.052106,rad
within_D20_vs_D00,isaac,requested_tracking_rms_D00,0.131353,rad
within_D20_vs_D00,isaac,requested_tracking_rms_D20,0.145288,rad
within_D20_vs_D00,isaac,effective_tracking_rms_D20,0.130011,rad
within_D20_vs_D00,isaac,group_LEGS_q_sensitivity,0.034088,rad
within_D20_vs_D00,isaac,group_WAIST_q_sensitivity,0.012869,rad
within_D20_vs_D00,isaac,group_ARMS_q_sensitivity,0.030822,rad
within_D20_vs_D00,isaac,root_height_sensitivity,0.006496,m
within_D20_vs_D00,isaac,root_xy_drift_sensitivity,0.031841,m
within_D20_vs_D00,isaac,root_roll_sensitivity,0.011006,rad
within_D20_vs_D00,isaac,root_pitch_sensitivity,0.009607,rad
within_D20_vs_D00,isaac,body_linear_vel_sensitivity,0.094311,m/s
within_D20_vs_D00,isaac,body_angular_vel_sensitivity,0.321105,rad/s
within_D20_vs_D00,isaac,action_variation_D00,0.130202,policy_action_unit
within_D20_vs_D00,isaac,action_variation_D20,0.132457,policy_action_unit
within_D20_vs_D00,isaac,q_des_variation_D00,0.032055,rad
within_D20_vs_D00,isaac,q_des_variation_D20,0.032514,rad
within_D20_vs_D00,mujoco,q_sensitivity,0.048023,rad
within_D20_vs_D00,mujoco,q_des_sensitivity,0.049301,rad
within_D20_vs_D00,mujoco,body_position_world_sensitivity,0.051533,m
within_D20_vs_D00,mujoco,body_position_pelvis_relative_sensitivity,0.017089,m
within_D20_vs_D00,mujoco,body_orientation_sensitivity,0.104533,rad
within_D20_vs_D00,mujoco,requested_tracking_rms_D00,0.122301,rad
within_D20_vs_D00,mujoco,requested_tracking_rms_D20,0.139712,rad
within_D20_vs_D00,mujoco,effective_tracking_rms_D20,0.123062,rad
within_D20_vs_D00,mujoco,group_LEGS_q_sensitivity,0.057339,rad
within_D20_vs_D00,mujoco,group_WAIST_q_sensitivity,0.019398,rad
within_D20_vs_D00,mujoco,group_ARMS_q_sensitivity,0.043342,rad
within_D20_vs_D00,mujoco,root_height_sensitivity,0.008846,m
within_D20_vs_D00,mujoco,root_xy_drift_sensitivity,0.060353,m
within_D20_vs_D00,mujoco,root_roll_sensitivity,0.016085,rad
within_D20_vs_D00,mujoco,root_pitch_sensitivity,0.014021,rad
within_D20_vs_D00,mujoco,body_linear_vel_sensitivity,0.129653,m/s
within_D20_vs_D00,mujoco,body_angular_vel_sensitivity,0.434377,rad/s
within_D20_vs_D00,mujoco,action_variation_D00,0.139526,policy_action_unit
within_D20_vs_D00,mujoco,action_variation_D20,0.142884,policy_action_unit
within_D20_vs_D00,mujoco,q_des_variation_D00,0.033379,rad
within_D20_vs_D00,mujoco,q_des_variation_D20,0.034244,rad
cross_engine,isaac_vs_mujoco,q_gap_D00,0.055946,rad
cross_engine,isaac_vs_mujoco,q_gap_D20,0.067324,rad
cross_engine,isaac_vs_mujoco,body_position_world_gap_D00,0.104610,m
cross_engine,isaac_vs_mujoco,body_position_world_gap_D20,0.074709,m
cross_engine,isaac_vs_mujoco,body_position_pelvis_relative_gap_D00,0.017400,m
cross_engine,isaac_vs_mujoco,body_position_pelvis_relative_gap_D20,0.023317,m
cross_engine,isaac_vs_mujoco,body_orientation_gap_D00,0.104374,rad
cross_engine,isaac_vs_mujoco,body_orientation_gap_D20,0.150575,rad
cross_engine,isaac_vs_mujoco,pelvis_position_gap_D00,0.103292,m
cross_engine,isaac_vs_mujoco,pelvis_position_gap_D20,0.070367,m
cross_engine,isaac_vs_mujoco,pelvis_orientation_gap_D00,0.040751,rad
cross_engine,isaac_vs_mujoco,pelvis_orientation_gap_D20,0.084816,rad
cross_engine_anchor,isaac_vs_mujoco,anchor_position_gap:pelvis_D00,0.103292,m
cross_engine_anchor,isaac_vs_mujoco,anchor_position_gap:pelvis_D20,0.070367,m
cross_engine_anchor,isaac_vs_mujoco,anchor_position_gap:left_ankle_roll_link_D00,0.105558,m
cross_engine_anchor,isaac_vs_mujoco,anchor_position_gap:left_ankle_roll_link_D20,0.090408,m
cross_engine_anchor,isaac_vs_mujoco,anchor_position_gap:right_ankle_roll_link_D00,0.111235,m
cross_engine_anchor,isaac_vs_mujoco,anchor_position_gap:right_ankle_roll_link_D20,0.073355,m
cross_engine_anchor,isaac_vs_mujoco,anchor_position_gap:left_wrist_roll_link_D00,0.102242,m
cross_engine_anchor,isaac_vs_mujoco,anchor_position_gap:left_wrist_roll_link_D20,0.077905,m
cross_engine_anchor,isaac_vs_mujoco,anchor_position_gap:right_wrist_roll_link_D00,0.100429,m
cross_engine_anchor,isaac_vs_mujoco,anchor_position_gap:right_wrist_roll_link_D20,0.072543,m
cross_engine_anchor,isaac_vs_mujoco,anchor_orientation_gap:pelvis_D00,0.040751,rad
cross_engine_anchor,isaac_vs_mujoco,anchor_orientation_gap:pelvis_D20,0.084816,rad
cross_engine_anchor,isaac_vs_mujoco,anchor_orientation_gap:left_ankle_roll_link_D00,0.096911,rad
cross_engine_anchor,isaac_vs_mujoco,anchor_orientation_gap:left_ankle_roll_link_D20,0.150586,rad
cross_engine_anchor,isaac_vs_mujoco,anchor_orientation_gap:right_ankle_roll_link_D00,0.107014,rad
cross_engine_anchor,isaac_vs_mujoco,anchor_orientation_gap:right_ankle_roll_link_D20,0.219933,rad
cross_engine_anchor,isaac_vs_mujoco,anchor_orientation_gap:left_wrist_roll_link_D00,0.126893,rad
cross_engine_anchor,isaac_vs_mujoco,anchor_orientation_gap:left_wrist_roll_link_D20,0.162242,rad
cross_engine_anchor,isaac_vs_mujoco,anchor_orientation_gap:right_wrist_roll_link_D00,0.151783,rad
cross_engine_anchor,isaac_vs_mujoco,anchor_orientation_gap:right_wrist_roll_link_D20,0.168811,rad
cross_engine,isaac_vs_mujoco,body_linear_vel_gap_D00,0.138428,m/s
cross_engine,isaac_vs_mujoco,body_linear_vel_gap_D20,0.143096,m/s
cross_engine,isaac_vs_mujoco,body_angular_vel_gap_D00,0.436388,rad/s
cross_engine,isaac_vs_mujoco,body_angular_vel_gap_D20,0.439748,rad/s
task_tracking_diagnostic,isaac_d00_10s,requested_tracking_rms_vs_q,0.131353,rad
task_tracking_diagnostic,isaac_d00_10s,diagnostic_unaligned_body_position_world_error_vs_motion_rms,0.104017,m
task_tracking_diagnostic,isaac_d00_10s,diagnostic_unaligned_body_position_pelvis_relative_error_vs_motion_rms,0.030203,m
task_tracking_diagnostic,isaac_d00_10s,diagnostic_unaligned_pelvis_height_mean_actual,0.972292,m
task_tracking_diagnostic,isaac_d00_10s,diagnostic_unaligned_body_orientation_error_vs_motion_rms,0.129418,rad
task_tracking_diagnostic,isaac_d20_10s_r2,requested_tracking_rms_vs_q,0.145288,rad
task_tracking_diagnostic,isaac_d20_10s_r2,diagnostic_unaligned_body_position_world_error_vs_motion_rms,0.093928,m
task_tracking_diagnostic,isaac_d20_10s_r2,diagnostic_unaligned_body_position_pelvis_relative_error_vs_motion_rms,0.031936,m
task_tracking_diagnostic,isaac_d20_10s_r2,diagnostic_unaligned_pelvis_height_mean_actual,0.971928,m
task_tracking_diagnostic,isaac_d20_10s_r2,diagnostic_unaligned_body_orientation_error_vs_motion_rms,0.142832,rad
task_tracking_diagnostic,mj_elbow_d00_10s,requested_tracking_rms_vs_q,0.122301,rad
task_tracking_diagnostic,mj_elbow_d00_10s,diagnostic_unaligned_body_position_world_error_vs_motion_rms,0.395553,m
task_tracking_diagnostic,mj_elbow_d00_10s,diagnostic_unaligned_body_position_pelvis_relative_error_vs_motion_rms,0.380003,m
task_tracking_diagnostic,mj_elbow_d00_10s,diagnostic_unaligned_pelvis_height_mean_actual,0.967767,m
task_tracking_diagnostic,mj_elbow_d00_10s,diagnostic_unaligned_body_orientation_error_vs_motion_rms,0.767774,rad
task_tracking_diagnostic,mj_elbow_d20_10s,requested_tracking_rms_vs_q,0.139712,rad
task_tracking_diagnostic,mj_elbow_d20_10s,diagnostic_unaligned_body_position_world_error_vs_motion_rms,0.395560,m
task_tracking_diagnostic,mj_elbow_d20_10s,diagnostic_unaligned_body_position_pelvis_relative_error_vs_motion_rms,0.379933,m
task_tracking_diagnostic,mj_elbow_d20_10s,diagnostic_unaligned_pelvis_height_mean_actual,0.968786,m
task_tracking_diagnostic,mj_elbow_d20_10s,diagnostic_unaligned_body_orientation_error_vs_motion_rms,0.774048,rad
torque,mujoco,applied_torque_rms_D00,18.219720,N*m
torque,mujoco,applied_torque_peak_D00,188.463074,N*m
torque,mujoco,raw_pd_torque_rms_D00,18.360258,N*m
torque,mujoco,torque_saturation_fraction_D00,0.580207,1
torque,mujoco,qfrc_actuator_rms_D00,18.219720,N*m
torque,mujoco,applied_torque_rms_D20,18.833477,N*m
torque,mujoco,applied_torque_peak_D20,187.009125,N*m
torque,mujoco,raw_pd_torque_rms_D20,19.101222,N*m
torque,mujoco,torque_saturation_fraction_D20,0.572828,1
torque,mujoco,qfrc_actuator_rms_D20,18.833477,N*m
survival,isaac_d00_10s,survival_cycles,500,cycle
survival,isaac_d00_10s,survival_time_s,10.000,s
survival,isaac_d00_10s,reset_observed,0,1
survival,isaac_d20_10s_r2,survival_cycles,500,cycle
survival,isaac_d20_10s_r2,survival_time_s,10.000,s
survival,isaac_d20_10s_r2,reset_observed,0,1
survival,mj_elbow_d00_10s,survival_cycles,500,cycle
survival,mj_elbow_d00_10s,survival_time_s,10.000,s
survival,mj_elbow_d00_10s,reset_observed,0,1
survival,mj_elbow_d20_10s,survival_cycles,500,cycle
survival,mj_elbow_d20_10s,survival_time_s,10.000,s
survival,mj_elbow_d20_10s,reset_observed,0,1
