time_s,isaac_d00_requested,isaac_d20_requested,isaac_d20_effective,mujoco_d00_requested,mujoco_d20_requested,mujoco_d20_effective,unit,aggregation
0.00,0.367826,0.367826,0.367826,0.367826,0.367826,0.367826,rad,per-cycle RMS over 29 joints of (q_des - q)
0.02,0.346332,0.346332,0.311985,0.314773,0.314773,0.283797,rad,per-cycle RMS over 29 joints of (q_des - q)
0.04,0.253697,0.262050,0.298312,0.274201,0.283500,0.257974,rad,per-cycle RMS over 29 joints of (q_des - q)
0.06,0.170730,0.194299,0.223128,0.233351,0.263669,0.256055,rad,per-cycle RMS over 29 joints of (q_des - q)
0.08,0.132915,0.153130,0.170732,0.166961,0.225860,0.248216,rad,per-cycle RMS over 29 joints of (q_des - q)
0.10,0.176685,0.197579,0.142062,0.168097,0.200471,0.207053,rad,per-cycle RMS over 29 joints of (q_des - q)
0.12,0.171134,0.215405,0.191932,0.179057,0.221018,0.190256,rad,per-cycle RMS over 29 joints of (q_des - q)
0.14,0.148459,0.201221,0.204408,0.180764,0.223009,0.204004,rad,per-cycle RMS over 29 joints of (q_des - q)
0.16,0.137394,0.179931,0.186368,0.168241,0.213013,0.195785,rad,per-cycle RMS over 29 joints of (q_des - q)
0.18,0.129943,0.151777,0.161373,0.133768,0.189469,0.184302,rad,per-cycle RMS over 29 joints of (q_des - q)
0.20,0.118743,0.129972,0.139696,0.121001,0.159958,0.165813,rad,per-cycle RMS over 29 joints of (q_des - q)
0.22,0.103148,0.124658,0.126820,0.099865,0.142508,0.154009,rad,per-cycle RMS over 29 joints of (q_des - q)
0.24,0.086552,0.105202,0.123595,0.075895,0.125774,0.143728,rad,per-cycle RMS over 29 joints of (q_des - q)
0.26,0.071338,0.089491,0.101692,0.098609,0.122360,0.122642,rad,per-cycle RMS over 29 joints of (q_des - q)
0.28,0.099769,0.089530,0.084590,0.110387,0.138090,0.114606,rad,per-cycle RMS over 29 joints of (q_des - q)
0.30,0.135692,0.116271,0.086878,0.106583,0.154591,0.125712,rad,per-cycle RMS over 29 joints of (q_des - q)
0.32,0.122842,0.132584,0.112675,0.094615,0.154166,0.144095,rad,per-cycle RMS over 29 joints of (q_des - q)
0.34,0.101929,0.125352,0.127542,0.085404,0.135066,0.144595,rad,per-cycle RMS over 29 joints of (q_des - q)
0.36,0.091432,0.102261,0.119094,0.079245,0.121010,0.124926,rad,per-cycle RMS over 29 joints of (q_des - q)
0.38,0.090717,0.085860,0.096881,0.071457,0.114392,0.113546,rad,per-cycle RMS over 29 joints of (q_des - q)
0.40,0.091319,0.087365,0.083353,0.064353,0.102477,0.106293,rad,per-cycle RMS over 29 joints of (q_des - q)
0.42,0.087360,0.091770,0.085481,0.059427,0.092762,0.092345,rad,per-cycle RMS over 29 joints of (q_des - q)
0.44,0.081247,0.090470,0.087764,0.055918,0.088074,0.082418,rad,per-cycle RMS over 29 joints of (q_des - q)
