time_s,isaac_d00_height,isaac_d20_height,mujoco_d00_height,mujoco_d20_height,isaac_d00_x_drift,isaac_d20_x_drift,mujoco_d00_x_drift,mujoco_d20_x_drift,isaac_d00_y_drift,isaac_d20_y_drift,mujoco_d00_y_drift,mujoco_d20_y_drift,unit
0.00,1.004295,1.004295,1.004295,1.004295,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,m
0.02,1.006222,1.006222,1.003955,1.003955,0.001025,0.001025,0.005192,0.005192,0.001928,0.001928,0.003927,0.003927,m
0.04,1.003559,1.003506,0.999716,0.999683,0.001596,0.001533,0.007542,0.007365,0.000342,0.001885,0.005328,0.006277,m
0.06,0.997427,0.996841,0.992797,0.992226,0.000469,0.000289,0.007968,0.007394,-0.009018,-0.005576,-0.001013,0.002302,m
0.08,0.991503,0.990367,0.987399,0.985813,-0.001539,-0.002275,0.008006,0.006974,-0.022730,-0.018250,-0.011871,-0.006175,m
0.10,0.985972,0.985896,0.983362,0.982128,-0.002559,-0.004256,0.009144,0.007538,-0.036512,-0.030738,-0.022547,-0.015062,m
0.12,0.979798,0.981677,0.978509,0.979069,-0.003543,-0.004542,0.010376,0.009954,-0.046555,-0.041485,-0.028347,-0.022846,m
0.14,0.972695,0.976692,0.971419,0.974687,-0.006658,-0.004380,0.009140,0.012553,-0.050983,-0.049423,-0.026853,-0.027735,m
0.16,0.965703,0.970406,0.961927,0.967983,-0.012162,-0.006540,0.004626,0.011896,-0.053050,-0.052131,-0.019997,-0.025740,m
0.18,0.960763,0.962598,0.953073,0.958439,-0.017701,-0.012570,-0.001495,0.006728,-0.055315,-0.050827,-0.014004,-0.017001,m
0.20,0.957256,0.955848,0.946189,0.947023,-0.022429,-0.020862,-0.006958,-0.001887,-0.057632,-0.052824,-0.010496,-0.006600,m
0.22,0.955927,0.950680,0.942373,0.937314,-0.025080,-0.028976,-0.010011,-0.011121,-0.061906,-0.056396,-0.009899,-0.001148,m
0.24,0.955820,0.946923,0.940749,0.930857,-0.026140,-0.035702,-0.010388,-0.018451,-0.066792,-0.060184,-0.011806,0.000612,m
0.26,0.955421,0.945967,0.938884,0.927926,-0.026119,-0.039220,-0.008785,-0.022954,-0.071604,-0.064368,-0.014010,0.000215,m
0.28,0.955024,0.946510,0.936199,0.927431,-0.025272,-0.040708,-0.005261,-0.024783,-0.076984,-0.067954,-0.014836,0.000051,m
