time_s,unit,isaac_d00_roll,isaac_d00_pitch,isaac_d20_roll,isaac_d20_pitch,mujoco_d00_roll,mujoco_d00_pitch,mujoco_d20_roll,mujoco_d20_pitch
0.00,rad,-0.010665,-0.114290,-0.010665,-0.114290,-0.010665,-0.114290,-0.010665,-0.114290
0.02,rad,-0.006525,-0.084690,-0.006525,-0.084690,0.000993,-0.066691,0.000993,-0.066691
0.04,rad,-0.001674,-0.060002,0.000133,-0.053938,0.001199,-0.023455,0.001802,-0.022739
0.06,rad,-0.009082,-0.069063,-0.002998,-0.058133,-0.010313,-0.016280,-0.007484,-0.010675
0.08,rad,-0.033368,-0.100633,-0.031582,-0.089318,-0.033319,-0.039721,-0.032377,-0.025153
0.10,rad,-0.044178,-0.139810,-0.057785,-0.123257,-0.041565,-0.078941,-0.053627,-0.050652
0.12,rad,-0.039497,-0.169264,-0.061148,-0.155246,-0.033769,-0.111367,-0.051908,-0.085014
0.14,rad,-0.037233,-0.178381,-0.045291,-0.180913,-0.028380,-0.121675,-0.032608,-0.121541
0.16,rad,-0.037788,-0.179980,-0.031117,-0.184838,-0.033023,-0.112130,-0.018334,-0.136759
0.18,rad,-0.036938,-0.182122,-0.032928,-0.172052,-0.036315,-0.108824,-0.019011,-0.126161
0.20,rad,-0.036459,-0.183695,-0.034289,-0.176088,-0.031628,-0.116399,-0.025490,-0.108501
0.22,rad,-0.027779,-0.192205,-0.034337,-0.185474,-0.018205,-0.127404,-0.024003,-0.111845
0.24,rad,-0.020110,-0.200090,-0.031884,-0.194687,-0.005056,-0.140745,-0.012408,-0.122327
0.26,rad,-0.013188,-0.204441,-0.020395,-0.200047,0.006859,-0.151042,0.004459,-0.129265
0.28,rad,-0.009023,-0.209227,-0.012182,-0.197933,0.018042,-0.151483,0.018615,-0.119936
0.30,rad,-0.013380,-0.215089,-0.010189,-0.198610,0.019078,-0.153687,0.030447,-0.098833
0.32,rad,-0.014868,-0.214637,-0.010087,-0.200953,0.019801,-0.157675,0.040811,-0.083468
0.34,rad,-0.006325,-0.209784,-0.012339,-0.200583,0.025024,-0.158715,0.041688,-0.092948
0.36,rad,0.006544,-0.204980,-0.010206,-0.196368,0.032972,-0.158994,0.043065,-0.101406
0.38,rad,0.016218,-0.200604,0.000826,-0.190519,0.040775,-0.158891,0.049055,-0.103896
0.40,rad,0.020277,-0.194164,0.014018,-0.185686,0.046476,-0.157166,0.057615,-0.109231
0.42,rad,0.021264,-0.183872,0.022046,-0.181720,0.049508,-0.154737,0.063361,-0.117940
0.44,rad,0.019758,-0.171663,0.022395,-0.175780,0.049867,-0.152356,0.062669,-0.124760
0.46,rad,0.017122,-0.159039,0.016640,-0.166277,0.047795,-0.149875,0.054940,-0.129873
0.48,rad,0.014179,-0.146875,0.008073,-0.154509,0.043977,-0.147174,0.049076,-0.135043
0.50,rad,0.010059,-0.136345,-0.000615,-0.142998,0.040722,-0.145757,0.043675,-0.139675
0.52,rad,0.005512,-0.129016,0.004214,-0.144952,0.037791,-0.145127,0.036327,-0.142177
0.54,rad,0.012079,-0.132175,0.011880,-0.147694,0.034613,-0.143980,0.033090,-0.147645
0.56,rad,0.019803,-0.133842,0.018011,-0.147863,0.031147,-0.142391,0.028546,-0.150937
0.58,rad,0.024453,-0.134874,0.021439,-0.148006,0.027339,-0.140735,0.020121,-0.149769
0.60,rad,0.027138,-0.136015,0.021659,-0.149893,0.026381,-0.141050,0.011168,-0.149912
0.62,rad,0.027844,-0.138172,0.020458,-0.152591,0.029551,-0.143020,0.004369,-0.153884
0.64,rad,0.027941,-0.140889,0.019399,-0.155919,0.031915,-0.143256,0.002114,-0.158659
0.66,rad,0.027979,-0.144251,0.019894,-0.159147,0.033007,-0.143235,0.006646,-0.160737
0.68,rad,0.027848,-0.147628,0.022205,-0.162142,0.033170,-0.143632,0.014785,-0.161280
0.70,rad,0.026842,-0.150124,0.022939,-0.165554,0.032879,-0.144931,0.018100,-0.163745
0.72,rad,0.022852,-0.151448,0.022901,-0.166391,0.032857,-0.147089,0.015178,-0.167164
0.74,rad,0.019445,-0.151227,0.020860,-0.165608,0.032098,-0.148521,0.013604,-0.169021
0.76,rad,0.017207,-0.150571,0.015418,-0.164559,0.032140,-0.150132,0.015966,-0.170306
0.78,rad,0.016179,-0.150085,0.013436,-0.162556,0.032340,-0.151123,0.019633,-0.170371
0.80,rad,0.016256,-0.149738,0.013826,-0.159796,0.032504,-0.151642,0.022084,-0.168405
0.82,rad,0.017320,-0.149365,0.015700,-0.156648,0.032755,-0.152014,0.021353,-0.165791
0.84,rad,0.019195,-0.148846,0.017333,-0.153163,0.033051,-0.152190,0.017928,-0.163994
0.86,rad,0.021655,-0.148188,0.017138,-0.148651,0.033363,-0.152125,0.012860,-0.162280
0.88,rad,0.024394,-0.147522,0.016836,-0.145152,0.033754,-0.151899,0.007361,-0.159431
0.90,rad,0.027066,-0.146984,0.019424,-0.145260,0.034124,-0.151380,0.010342,-0.160595
0.92,rad,0.029364,-0.146624,0.026345,-0.145926,0.034431,-0.150479,0.015014,-0.159833
0.94,rad,0.031096,-0.146442,0.032111,-0.145243,0.034641,-0.149243,0.017061,-0.156256
0.96,rad,0.032198,-0.146458,0.035356,-0.144785,0.034689,-0.147687,0.016228,-0.152693
0.98,rad,0.032714,-0.146701,0.036570,-0.145406,0.034628,-0.145957,0.014730,-0.148892
1.00,rad,0.032758,-0.147132,0.036657,-0.147193,0.034462,-0.144223,0.014358,-0.145559
1.02,rad,0.032478,-0.147691,0.035979,-0.149549,0.034250,-0.142617,0.016258,-0.143291
1.04,rad,0.032029,-0.148314,0.034685,-0.151386,0.033904,-0.141135,0.020574,-0.142330
1.06,rad,0.031561,-0.148928,0.032718,-0.152133,0.033458,-0.139795,0.019934,-0.146384
1.08,rad,0.031177,-0.149479,0.026765,-0.152292,0.032933,-0.138596,0.016094,-0.151001
1.10,rad,0.030942,-0.149949,0.021226,-0.150987,0.032378,-0.137606,0.013277,-0.153856
1.12,rad,0.030900,-0.150348,0.018044,-0.149332,0.031882,-0.136777,0.012216,-0.156776
1.14,rad,0.031054,-0.150669,0.016637,-0.147881,0.031516,-0.136141,0.011014,-0.161248
1.16,rad,0.031378,-0.150916,0.016707,-0.147056,0.031243,-0.135579,0.011829,-0.164753
1.18,rad,0.031826,-0.151103,0.016959,-0.146269,0.030875,-0.134934,0.013749,-0.166691
1.20,rad,0.032342,-0.151267,0.019253,-0.145878,0.030669,-0.134331,0.014957,-0.167759
1.22,rad,0.032875,-0.151419,0.023654,-0.145107,0.030442,-0.133663,0.014931,-0.167752
1.24,rad,0.033391,-0.151552,0.027975,-0.143512,0.030347,-0.132906,0.013264,-0.165733
1.26,rad,0.033860,-0.151680,0.031297,-0.142139,0.030430,-0.132208,0.010752,-0.162502
1.28,rad,0.034271,-0.151826,0.033066,-0.141731,0.030504,-0.131505,0.009171,-0.160035
1.30,rad,0.034619,-0.152003,0.033537,-0.142060,0.030695,-0.130816,0.009202,-0.158400
1.32,rad,0.034897,-0.152249,0.033204,-0.142686,0.030981,-0.130256,0.009241,-0.154327
1.34,rad,0.035112,-0.152611,0.032082,-0.143607,0.031074,-0.129909,0.011125,-0.146875
1.36,rad,0.035273,-0.153065,0.030915,-0.144460,0.031215,-0.129696,0.016008,-0.138591
1.38,rad,0.035389,-0.153554,0.030051,-0.145214,0.031540,-0.129734,0.020759,-0.133701
1.40,rad,0.035479,-0.154025,0.029625,-0.145845,0.032056,-0.129999,0.019580,-0.136233
1.42,rad,0.035561,-0.154443,0.029632,-0.146282,0.032819,-0.130294,0.015233,-0.139539
1.44,rad,0.035640,-0.154792,0.030007,-0.146484,0.033804,-0.130772,0.011990,-0.142547
1.46,rad,0.035720,-0.155067,0.030679,-0.146488,0.034840,-0.131349,0.011857,-0.145083
1.48,rad,0.035802,-0.155266,0.031565,-0.146402,0.035854,-0.131738,0.013411,-0.147642
1.50,rad,0.035889,-0.155389,0.032575,-0.146323,0.036881,-0.132169,0.015535,-0.149632
1.52,rad,0.035967,-0.155426,0.033632,-0.146312,0.037888,-0.132602,0.017335,-0.151172
1.54,rad,0.036015,-0.155375,0.034665,-0.146377,0.038615,-0.132887,0.018327,-0.152195
1.56,rad,0.036020,-0.155269,0.035602,-0.146512,0.039245,-0.133075,0.018568,-0.152406
1.58,rad,0.035985,-0.155172,0.036415,-0.146735,0.039878,-0.133291,0.018908,-0.152038
1.60,rad,0.035919,-0.155130,0.037098,-0.147095,0.040450,-0.133584,0.020216,-0.151160
1.62,rad,0.035816,-0.155132,0.037668,-0.147619,0.041058,-0.133908,0.020889,-0.149573
1.64,rad,0.035675,-0.155128,0.038140,-0.148275,0.041569,-0.134422,0.020868,-0.148139
1.66,rad,0.035518,-0.155073,0.038517,-0.148984,0.042113,-0.134969,0.020593,-0.147076
1.68,rad,0.035370,-0.154921,0.038827,-0.149667,0.042641,-0.135362,0.020459,-0.146159
1.70,rad,0.035248,-0.154660,0.039100,-0.150256,0.043126,-0.135642,0.020833,-0.145150
1.72,rad,0.035166,-0.154329,0.039353,-0.150712,0.043517,-0.135870,0.021995,-0.143776
1.74,rad,0.035132,-0.153996,0.039604,-0.151056,0.043843,-0.136008,0.023559,-0.142201
1.76,rad,0.035118,-0.153698,0.039858,-0.151344,0.044045,-0.136025,0.025072,-0.140466
1.78,rad,0.035087,-0.153487,0.040089,-0.151625,0.044041,-0.136102,0.026628,-0.138703
1.80,rad,0.034994,-0.153377,0.040261,-0.151957,0.043820,-0.136340,0.028145,-0.137259
1.82,rad,0.034812,-0.153353,0.040327,-0.152357,0.043674,-0.136481,0.029630,-0.136280
1.84,rad,0.034546,-0.153400,0.040261,-0.152814,0.043362,-0.136831,0.030839,-0.136050
1.86,rad,0.034222,-0.153472,0.040065,-0.153305,0.042894,-0.137331,0.031695,-0.136299
1.88,rad,0.033868,-0.153484,0.039765,-0.153774,0.042490,-0.137642,0.032520,-0.136921
