time_s,isaac_d20_vs_d00,mujoco_d20_vs_d00,cross_d00,cross_d20,unit,aggregation
0.00,0.000000,0.000000,0.000001,0.000001,rad,per-cycle geodesic RMS over 14 actual bodies
0.02,0.000000,0.000000,0.057168,0.057168,rad,per-cycle geodesic RMS over 14 actual bodies
0.04,0.012678,0.013918,0.097781,0.101092,rad,per-cycle geodesic RMS over 14 actual bodies
0.06,0.022401,0.033648,0.114474,0.124642,rad,per-cycle geodesic RMS over 14 actual bodies
0.08,0.035471,0.053283,0.123481,0.129424,rad,per-cycle geodesic RMS over 14 actual bodies
0.10,0.053462,0.060196,0.135543,0.134593,rad,per-cycle geodesic RMS over 14 actual bodies
0.12,0.059692,0.062321,0.145683,0.149889,rad,per-cycle geodesic RMS over 14 actual bodies
0.14,0.045070,0.060169,0.152847,0.160643,rad,per-cycle geodesic RMS over 14 actual bodies
0.16,0.048078,0.054304,0.162221,0.158751,rad,per-cycle geodesic RMS over 14 actual bodies
0.18,0.065661,0.072909,0.164934,0.153201,rad,per-cycle geodesic RMS over 14 actual bodies
0.20,0.058390,0.075457,0.163552,0.153639,rad,per-cycle geodesic RMS over 14 actual bodies
0.22,0.048669,0.067303,0.159246,0.151106,rad,per-cycle geodesic RMS over 14 actual bodies
0.24,0.044907,0.071414,0.148217,0.148747,rad,per-cycle geodesic RMS over 14 actual bodies
0.26,0.042085,0.079773,0.135154,0.147340,rad,per-cycle geodesic RMS over 14 actual bodies
0.28,0.038260,0.092849,0.126804,0.146141,rad,per-cycle geodesic RMS over 14 actual bodies
0.30,0.040439,0.093032,0.123539,0.150782,rad,per-cycle geodesic RMS over 14 actual bodies
0.32,0.042277,0.114208,0.117950,0.172857,rad,per-cycle geodesic RMS over 14 actual bodies
0.34,0.043268,0.124476,0.107793,0.185899,rad,per-cycle geodesic RMS over 14 actual bodies
0.36,0.042829,0.120069,0.096555,0.180891,rad,per-cycle geodesic RMS over 14 actual bodies
0.38,0.035195,0.112884,0.086479,0.165147,rad,per-cycle geodesic RMS over 14 actual bodies
0.40,0.028764,0.107956,0.078191,0.149844,rad,per-cycle geodesic RMS over 14 actual bodies
0.42,0.027758,0.105995,0.071424,0.139200,rad,per-cycle geodesic RMS over 14 actual bodies
0.44,0.027715,0.107751,0.066244,0.135374,rad,per-cycle geodesic RMS over 14 actual bodies
0.46,0.026117,0.111959,0.062725,0.136981,rad,per-cycle geodesic RMS over 14 actual bodies
0.48,0.024404,0.116016,0.060105,0.139618,rad,per-cycle geodesic RMS over 14 actual bodies
0.50,0.023976,0.119698,0.056598,0.143955,rad,per-cycle geodesic RMS over 14 actual bodies
0.52,0.025656,0.123682,0.054144,0.147444,rad,per-cycle geodesic RMS over 14 actual bodies
0.54,0.023941,0.127376,0.050592,0.150670,rad,per-cycle geodesic RMS over 14 actual bodies
0.56,0.022221,0.133739,0.047753,0.154337,rad,per-cycle geodesic RMS over 14 actual bodies
0.58,0.020348,0.140304,0.046431,0.155667,rad,per-cycle geodesic RMS over 14 actual bodies
0.60,0.020836,0.143487,0.046259,0.153465,rad,per-cycle geodesic RMS over 14 actual bodies
0.62,0.021666,0.143880,0.046866,0.149661,rad,per-cycle geodesic RMS over 14 actual bodies
0.64,0.022032,0.141283,0.048356,0.145661,rad,per-cycle geodesic RMS over 14 actual bodies
0.66,0.022928,0.135669,0.049725,0.140266,rad,per-cycle geodesic RMS over 14 actual bodies
0.68,0.025618,0.128505,0.050552,0.134485,rad,per-cycle geodesic RMS over 14 actual bodies
0.70,0.025636,0.120879,0.051679,0.129628,rad,per-cycle geodesic RMS over 14 actual bodies
0.72,0.023765,0.112545,0.052121,0.123509,rad,per-cycle geodesic RMS over 14 actual bodies
0.74,0.022680,0.105002,0.052385,0.118715,rad,per-cycle geodesic RMS over 14 actual bodies
0.76,0.021973,0.100904,0.052313,0.117314,rad,per-cycle geodesic RMS over 14 actual bodies
0.78,0.021866,0.102658,0.052256,0.121956,rad,per-cycle geodesic RMS over 14 actual bodies
0.80,0.021396,0.111671,0.052277,0.132354,rad,per-cycle geodesic RMS over 14 actual bodies
0.82,0.020066,0.124062,0.052403,0.143806,rad,per-cycle geodesic RMS over 14 actual bodies
0.84,0.019976,0.135191,0.052691,0.153392,rad,per-cycle geodesic RMS over 14 actual bodies
0.86,0.021332,0.143265,0.053209,0.160826,rad,per-cycle geodesic RMS over 14 actual bodies
0.88,0.022446,0.147595,0.054022,0.166026,rad,per-cycle geodesic RMS over 14 actual bodies
0.90,0.023167,0.147054,0.055165,0.167385,rad,per-cycle geodesic RMS over 14 actual bodies
0.92,0.023803,0.142799,0.056660,0.165629,rad,per-cycle geodesic RMS over 14 actual bodies
0.94,0.023837,0.136156,0.058519,0.161169,rad,per-cycle geodesic RMS over 14 actual bodies
0.96,0.023427,0.127967,0.060667,0.154617,rad,per-cycle geodesic RMS over 14 actual bodies
0.98,0.022740,0.119805,0.063015,0.147913,rad,per-cycle geodesic RMS over 14 actual bodies
1.00,0.021695,0.113344,0.065473,0.143068,rad,per-cycle geodesic RMS over 14 actual bodies
1.02,0.020149,0.108923,0.067879,0.140972,rad,per-cycle geodesic RMS over 14 actual bodies
1.04,0.018647,0.106099,0.069984,0.141249,rad,per-cycle geodesic RMS over 14 actual bodies
1.06,0.018145,0.102712,0.071742,0.141612,rad,per-cycle geodesic RMS over 14 actual bodies
1.08,0.018414,0.100328,0.073163,0.141977,rad,per-cycle geodesic RMS over 14 actual bodies
1.10,0.018616,0.099253,0.074342,0.143502,rad,per-cycle geodesic RMS over 14 actual bodies
1.12,0.018686,0.100472,0.075378,0.147379,rad,per-cycle geodesic RMS over 14 actual bodies
1.14,0.018576,0.102345,0.076317,0.151872,rad,per-cycle geodesic RMS over 14 actual bodies
1.16,0.018271,0.106199,0.077176,0.158420,rad,per-cycle geodesic RMS over 14 actual bodies
1.18,0.018329,0.114670,0.077901,0.169243,rad,per-cycle geodesic RMS over 14 actual bodies
1.20,0.018520,0.127191,0.078650,0.183605,rad,per-cycle geodesic RMS over 14 actual bodies
1.22,0.018907,0.142664,0.079396,0.200421,rad,per-cycle geodesic RMS over 14 actual bodies
1.24,0.019483,0.159770,0.080137,0.218366,rad,per-cycle geodesic RMS over 14 actual bodies
1.26,0.019895,0.176377,0.080831,0.235435,rad,per-cycle geodesic RMS over 14 actual bodies
1.28,0.019883,0.188455,0.081344,0.247725,rad,per-cycle geodesic RMS over 14 actual bodies
1.30,0.019540,0.191184,0.081747,0.250767,rad,per-cycle geodesic RMS over 14 actual bodies
1.32,0.019091,0.186056,0.082039,0.246072,rad,per-cycle geodesic RMS over 14 actual bodies
1.34,0.018606,0.177329,0.082101,0.237547,rad,per-cycle geodesic RMS over 14 actual bodies
1.36,0.018177,0.169605,0.082097,0.229774,rad,per-cycle geodesic RMS over 14 actual bodies
1.38,0.017737,0.164417,0.082025,0.224546,rad,per-cycle geodesic RMS over 14 actual bodies
1.40,0.017292,0.161003,0.081890,0.221100,rad,per-cycle geodesic RMS over 14 actual bodies
1.42,0.016929,0.158608,0.081747,0.218606,rad,per-cycle geodesic RMS over 14 actual bodies
1.44,0.016688,0.156587,0.081624,0.216698,rad,per-cycle geodesic RMS over 14 actual bodies
1.46,0.016549,0.154196,0.081497,0.214504,rad,per-cycle geodesic RMS over 14 actual bodies
1.48,0.016464,0.151147,0.081451,0.211639,rad,per-cycle geodesic RMS over 14 actual bodies
1.50,0.016408,0.147639,0.081407,0.208327,rad,per-cycle geodesic RMS over 14 actual bodies
1.52,0.016385,0.144197,0.081312,0.205084,rad,per-cycle geodesic RMS over 14 actual bodies
1.54,0.016394,0.141420,0.081164,0.202397,rad,per-cycle geodesic RMS over 14 actual bodies
1.56,0.016427,0.139699,0.080990,0.200676,rad,per-cycle geodesic RMS over 14 actual bodies
1.58,0.016468,0.139205,0.080815,0.200152,rad,per-cycle geodesic RMS over 14 actual bodies
1.60,0.016498,0.139472,0.080682,0.200417,rad,per-cycle geodesic RMS over 14 actual bodies
1.62,0.016497,0.140046,0.080580,0.201043,rad,per-cycle geodesic RMS over 14 actual bodies
1.64,0.016462,0.140724,0.080473,0.201733,rad,per-cycle geodesic RMS over 14 actual bodies
1.66,0.016393,0.141418,0.080340,0.202376,rad,per-cycle geodesic RMS over 14 actual bodies
1.68,0.016290,0.141982,0.080233,0.202877,rad,per-cycle geodesic RMS over 14 actual bodies
1.70,0.016155,0.142304,0.080199,0.203173,rad,per-cycle geodesic RMS over 14 actual bodies
1.72,0.015991,0.142273,0.080203,0.203152,rad,per-cycle geodesic RMS over 14 actual bodies
1.74,0.015811,0.142012,0.080246,0.202912,rad,per-cycle geodesic RMS over 14 actual bodies
1.76,0.015633,0.141554,0.080332,0.202457,rad,per-cycle geodesic RMS over 14 actual bodies
1.78,0.015465,0.140783,0.080477,0.201743,rad,per-cycle geodesic RMS over 14 actual bodies
1.80,0.015307,0.139721,0.080674,0.200804,rad,per-cycle geodesic RMS over 14 actual bodies
1.82,0.015157,0.138499,0.080896,0.199666,rad,per-cycle geodesic RMS over 14 actual bodies
1.84,0.015015,0.137133,0.081217,0.198486,rad,per-cycle geodesic RMS over 14 actual bodies
1.86,0.014874,0.135667,0.081579,0.197256,rad,per-cycle geodesic RMS over 14 actual bodies
1.88,0.014735,0.134172,0.081968,0.196001,rad,per-cycle geodesic RMS over 14 actual bodies
1.90,0.014605,0.132594,0.082380,0.194688,rad,per-cycle geodesic RMS over 14 actual bodies
1.92,0.014499,0.131047,0.082798,0.193395,rad,per-cycle geodesic RMS over 14 actual bodies
1.94,0.014422,0.129464,0.083215,0.192075,rad,per-cycle geodesic RMS over 14 actual bodies
1.96,0.014371,0.128028,0.083741,0.190867,rad,per-cycle geodesic RMS over 14 actual bodies
1.98,0.014341,0.126407,0.084228,0.189619,rad,per-cycle geodesic RMS over 14 actual bodies
2.00,0.014336,0.124779,0.084567,0.188335,rad,per-cycle geodesic RMS over 14 actual bodies
2.02,0.014385,0.123257,0.085054,0.187188,rad,per-cycle geodesic RMS over 14 actual bodies
2.04,0.014486,0.121840,0.085489,0.186142,rad,per-cycle geodesic RMS over 14 actual bodies
2.06,0.014602,0.120594,0.086011,0.185352,rad,per-cycle geodesic RMS over 14 actual bodies
2.08,0.014699,0.119494,0.086478,0.184746,rad,per-cycle geodesic RMS over 14 actual bodies
2.10,0.014780,0.118612,0.087051,0.184413,rad,per-cycle geodesic RMS over 14 actual bodies
2.12,0.014852,0.117661,0.087546,0.184112,rad,per-cycle geodesic RMS over 14 actual bodies
2.14,0.014910,0.116976,0.088151,0.184055,rad,per-cycle geodesic RMS over 14 actual bodies
2.16,0.014964,0.116319,0.088803,0.184097,rad,per-cycle geodesic RMS over 14 actual bodies
2.18,0.015012,0.115751,0.089418,0.184257,rad,per-cycle geodesic RMS over 14 actual bodies
2.20,0.015055,0.115307,0.089959,0.184532,rad,per-cycle geodesic RMS over 14 actual bodies
2.22,0.015091,0.114906,0.090618,0.184878,rad,per-cycle geodesic RMS over 14 actual bodies
2.24,0.015111,0.114624,0.091256,0.185328,rad,per-cycle geodesic RMS over 14 actual bodies
2.26,0.015111,0.114540,0.091769,0.185930,rad,per-cycle geodesic RMS over 14 actual bodies
2.28,0.015094,0.114629,0.092323,0.186714,rad,per-cycle geodesic RMS over 14 actual bodies
2.30,0.015059,0.114900,0.092707,0.187625,rad,per-cycle geodesic RMS over 14 actual bodies
2.32,0.014999,0.115294,0.093095,0.188619,rad,per-cycle geodesic RMS over 14 actual bodies
2.34,0.014914,0.115955,0.093377,0.189764,rad,per-cycle geodesic RMS over 14 actual bodies
2.36,0.014819,0.116741,0.093592,0.191025,rad,per-cycle geodesic RMS over 14 actual bodies
2.38,0.014724,0.117575,0.093797,0.192331,rad,per-cycle geodesic RMS over 14 actual bodies
2.40,0.014642,0.118379,0.093979,0.193558,rad,per-cycle geodesic RMS over 14 actual bodies
2.42,0.014576,0.119189,0.094144,0.194757,rad,per-cycle geodesic RMS over 14 actual bodies
2.44,0.014526,0.119912,0.094295,0.195817,rad,per-cycle geodesic RMS over 14 actual bodies
2.46,0.014497,0.120579,0.094433,0.196782,rad,per-cycle geodesic RMS over 14 actual bodies
2.48,0.014486,0.121127,0.094557,0.197578,rad,per-cycle geodesic RMS over 14 actual bodies
2.50,0.014495,0.121545,0.094679,0.198202,rad,per-cycle geodesic RMS over 14 actual bodies
2.52,0.014508,0.121860,0.094789,0.198688,rad,per-cycle geodesic RMS over 14 actual bodies
2.54,0.014523,0.122108,0.094873,0.199057,rad,per-cycle geodesic RMS over 14 actual bodies
2.56,0.014553,0.122350,0.094962,0.199304,rad,per-cycle geodesic RMS over 14 actual bodies
2.58,0.014597,0.122388,0.095028,0.199365,rad,per-cycle geodesic RMS over 14 actual bodies
2.60,0.014648,0.122364,0.095033,0.199369,rad,per-cycle geodesic RMS over 14 actual bodies
2.62,0.014721,0.122318,0.095067,0.199200,rad,per-cycle geodesic RMS over 14 actual bodies
2.64,0.014827,0.122151,0.095115,0.199055,rad,per-cycle geodesic RMS over 14 actual bodies
2.66,0.014946,0.122120,0.095170,0.198916,rad,per-cycle geodesic RMS over 14 actual bodies
2.68,0.015061,0.122120,0.095204,0.198916,rad,per-cycle geodesic RMS over 14 actual bodies
2.70,0.015167,0.122184,0.095204,0.198904,rad,per-cycle geodesic RMS over 14 actual bodies
2.72,0.015274,0.122402,0.095159,0.199049,rad,per-cycle geodesic RMS over 14 actual bodies
2.74,0.015381,0.122405,0.095111,0.199116,rad,per-cycle geodesic RMS over 14 actual bodies
2.76,0.015481,0.122469,0.095057,0.199144,rad,per-cycle geodesic RMS over 14 actual bodies
2.78,0.015565,0.122659,0.094965,0.199120,rad,per-cycle geodesic RMS over 14 actual bodies
2.80,0.015632,0.122732,0.094891,0.199050,rad,per-cycle geodesic RMS over 14 actual bodies
2.82,0.015680,0.122707,0.094837,0.198969,rad,per-cycle geodesic RMS over 14 actual bodies
2.84,0.015706,0.122658,0.094790,0.198816,rad,per-cycle geodesic RMS over 14 actual bodies
2.86,0.015704,0.122489,0.094732,0.198728,rad,per-cycle geodesic RMS over 14 actual bodies
2.88,0.015675,0.122608,0.094689,0.198586,rad,per-cycle geodesic RMS over 14 actual bodies
2.90,0.015623,0.122513,0.094627,0.198388,rad,per-cycle geodesic RMS over 14 actual bodies
2.92,0.015552,0.122359,0.094543,0.198173,rad,per-cycle geodesic RMS over 14 actual bodies
2.94,0.015467,0.122286,0.094458,0.197991,rad,per-cycle geodesic RMS over 14 actual bodies
2.96,0.015379,0.122268,0.094402,0.197899,rad,per-cycle geodesic RMS over 14 actual bodies
2.98,0.015292,0.122221,0.094394,0.197831,rad,per-cycle geodesic RMS over 14 actual bodies
3.00,0.015200,0.122120,0.094443,0.197751,rad,per-cycle geodesic RMS over 14 actual bodies
3.02,0.015123,0.121984,0.094563,0.197676,rad,per-cycle geodesic RMS over 14 actual bodies
3.04,0.015059,0.121818,0.094752,0.197618,rad,per-cycle geodesic RMS over 14 actual bodies
3.06,0.014991,0.121617,0.094995,0.197572,rad,per-cycle geodesic RMS over 14 actual bodies
3.08,0.014912,0.121390,0.095275,0.197545,rad,per-cycle geodesic RMS over 14 actual bodies
3.10,0.014837,0.121162,0.095575,0.197545,rad,per-cycle geodesic RMS over 14 actual bodies
